"Year"	"AreaName"	"MapCode"	"ProductionType"	"AggregatedInstalledCapacity"	"NetGen_entsoe_powerstat"	"TSOs"	"JRC database"	"Geth et al."	"highRES_Europe"														"h"																												
2015	"Romania"	"RO"	"Hydro Water Reservoir"	3800					3800																																										
2015	"Romania"	"RO"	"Hydro Pumped Storage"		"3,709.00"			285	285																																										
2015	"Romania"	"RO"	"Hydro Run-of-river and poundage"	2670	"2,643.00"				2670																																										
2015	"Slovakia"	"SK"	"Hydro Pumped Storage"	916	"318.16"				916																																										
2015	"Slovakia"	"SK"	"Hydro Water Reservoir"	414	282				414																																										
2015	"Slovakia"	"SK"	"Hydro Run-of-river and poundage"	1203	"1,199.00"				1203																																										
2015	"Slovenia"	"SI"	"Hydro Pumped Storage"	180					180																																										
2015	"Slovenia"	"SI"	"Hydro Run-of-river and poundage"	1053	"1,053.00"				1053																																										
2015	"Slovenia"	"SI"	"Hydro Water Reservoir"	0			222		222																																										
2015	"Spain"	"ES"	"Hydro Water Reservoir"	"18186.5"	"3,073.15"				"18186.5"																																										
2015	"Spain"	"ES"	"Hydro Run-of-river and poundage"	"1085.4"	"2,714.99"	17035			"1085.4"																																										
2015	"Spain"	"ES"	"Hydro Pumped Storage"	"4825.4"	"11,230.76"	3329			"4825.4"																																										
2015	"Sweden"	"SE"	"Hydro Pumped Storage"		"16,184.00"		426		426																																										
2015	"Sweden"	"SE"	"Hydro Run-of-river and poundage"						0																																										
2015	"Sweden"	"SE"	"Hydro Water Reservoir"	15956		"16.184"			"16.184"																																										
2015	"Switzerland"	"CH"	"Hydro Run-of-river and poundage"	190	"3,941.00"	"4645.57"			"4645.57"																																										
2015	"Switzerland"	"CH"	"Hydro Water Reservoir"	"4791.8"		"8208.06"			"8208.06"																																										
2015	"Switzerland"	"CH"	"Hydro Pumped Storage"	3940	"7,966.00"	"1757.69"			"1757.69"																																										
